feature,importance
num__ROLLING_4_WEEK_CRIME_COUNT,0.23040884745372966
num__PREV_3_WEEK_CRIME_COUNT,0.16255857978025365
num__PREV_2_WEEK_CRIME_COUNT,0.13976641745895124
num__PREV_WEEK_CRIME_COUNT,0.13044157329709272
num__GRID_TOTAL_PREVIOUS_CRIMES,0.11987869167230608
num__LAT_GRID,0.040265509905247514
num__LON_GRID,0.03526152751818044
num__AREA,0.017297161768832177
cat__AREA NAME_Devonshire,0.012519053379833778
cat__DOMINANT_PREMISE_STREET,0.010056936561459022
num__YEAR,0.009043605620029264
cat__AREA NAME_Foothill,0.00637076364603008
cat__AREA NAME_Newton,0.006033018678151685
"cat__DOMINANT_PREMISE_MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.005755417833578626
num__HOUR,0.005350373929616087
cat__AREA NAME_Olympic,0.0047920969509823615
cat__AREA NAME_77th Street,0.004622321266491191
cat__AREA NAME_Central,0.003828714840528861
cat__AREA NAME_Rampart,0.003287679294186257
cat__AREA NAME_Southwest,0.0028739997095112396
"cat__DOMINANT_CRIME_TYPE_ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.0027550489170556276
cat__AREA NAME_Northeast,0.0026892724706930075
cat__DOMINANT_PREMISE_DRIVEWAY,0.002338692920067232
cat__DOMINANT_CRIME_TYPE_SHOPLIFTING - PETTY THEFT ($950 & UNDER),0.002313074811563691
cat__DOMINANT_CRIME_TYPE_BATTERY - SIMPLE ASSAULT,0.002160324526829815
cat__DOMINANT_CRIME_TYPE_VEHICLE - STOLEN,0.001992795655726202
cat__DOMINANT_PREMISE_SINGLE FAMILY DWELLING,0.0018944298430081917
cat__AREA NAME_Topanga,0.0017945484583655863
cat__AREA NAME_Van Nuys,0.001739385641456564
num__MONTH,0.0015967297583640789
cat__AREA NAME_Wilshire,0.0015720943927406792
cat__AREA NAME_Harbor,0.0015211337272254713
cat__AREA NAME_West Valley,0.001398552887799895
cat__AREA NAME_West LA,0.0013127532228810741
cat__AREA NAME_Hollenbeck,0.0012700128235176907
cat__AREA NAME_Hollywood,0.0012366021249827677
cat__AREA NAME_Southeast,0.0010723533589326365
cat__AREA NAME_N Hollywood,0.0010553493999780575
cat__DOMINANT_CRIME_TYPE_BURGLARY,0.0010496791127734672
cat__AREA NAME_Mission,0.0009298129462928964
cat__DOMINANT_PREMISE_DEPARTMENT STORE,0.0008820723293544243
cat__DOMINANT_CRIME_TYPE_THEFT OF IDENTITY,0.0008059925657551235
