feature,importance
num__ROLLING_4_WEEK_CRIME_COUNT,0.2304088474537296
num__PREV_3_WEEK_CRIME_COUNT,0.1625585797802536
num__PREV_2_WEEK_CRIME_COUNT,0.1397664174589512
num__PREV_WEEK_CRIME_COUNT,0.1304415732970927
num__GRID_TOTAL_PREVIOUS_CRIMES,0.119878691672306
num__LAT_GRID,0.0402655099052475
num__LON_GRID,0.0352615275181804
num__AREA,0.0172971617688321
cat__AREA NAME_Devonshire,0.0125190533798337
cat__DOMINANT_PREMISE_STREET,0.010056936561459
num__YEAR,0.0090436056200292
cat__AREA NAME_Foothill,0.00637076364603
cat__AREA NAME_Newton,0.0060330186781516
"cat__DOMINANT_PREMISE_MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0057554178335786
num__HOUR,0.005350373929616
cat__AREA NAME_Olympic,0.0047920969509823
cat__AREA NAME_77th Street,0.0046223212664911
cat__AREA NAME_Central,0.0038287148405288
cat__AREA NAME_Rampart,0.0032876792941862
cat__AREA NAME_Southwest,0.0028739997095112
